*start,,,,,,,,,,,,,,,,,,,,,,,,,
P20C25-25W-BS,P2025-INS1,P2025-INS2,P2025-INS3,P2025-INS4,P2025-INS5,P2025-INS6,P2025-WS,P2025-TUP,P2025-ICS,P2025-PT,P2025-WRG,P20C25-ASS1,P20C25-ASS2,P20C25-FT,P20C25-BS,,,,,,,,,,
P20M25-25W-BS,P2025-INS1,P2025-INS2,P2025-INS3,P2025-INS4,P2025-INS5,P2025-INS6,P2025-WS,P2025-TUP,P2025-ICS,P2025-PT,P2025-WRG,P20M25-ASS1,P20M25-ASS2,P20M25-FT,P20M25-BS,,,,,,,,,,
P30C25-25W-BS,P2025-INS1,P2025-INS2,P2025-INS3,P2025-INS4,P2025-INS5,P2025-INS6,P2025-WS,P2025-TUP,P2025-ICS,P2025-PT,P3025-WRG,P30C25-ASS1,P30C25-ASS2,P30C25-FT,P30C25-BS,,,,,,,,,,
P30M25-25W-BS,P2025-INS1,P2025-INS2,P2025-INS3,P2025-INS4,P2025-INS5,P2025-INS6,P2025-WS,P2025-TUP,P2025-ICS,P2025-PT,P3025-WRG,P30M25-ASS1,P30M25-ASS2,P30M25-FT,P30M25-BS,,,,,,,,,,
#end,,,,,,,,,,,,,,,,,,,,,,,,,
*start,,,,,,,,,,,,,,,,,,,,,,,,,
Stage Code,Task Code,Item Code,BOM Qty,Std. Time/Sec,,,,,,,,,,,,,,,,,,,,,
P20M25-ASS1,11,P2025-WRG,1,400,,,,,,,,,,,,,,,,,,,,,
,,BOX-P20M-FR-$1,1,,,,,,,,,,,,,,,,,,,,,,
,,BOX-P20-CLIPS,1,,,,,,,,,,,,,,,,,,,,,,
,,SC-ST-M2.6X10,2,,,,,,,,,,,,,,,,,,,,,,
P30C25-ASS1,11,P3025-WRG,1,400,,,,,,,,,,,,,,,,,,,,,
,,BOX-P30C-FR-$1,1,,,,,,,,,,,,,,,,,,,,,,
,,BOX-P20-CLIPS,1,,,,,,,,,,,,,,,,,,,,,,
,,SC-ST-M2.6X10,2,,,,,,,,,,,,,,,,,,,,,,
P30M25-ASS1,11,P3025-WRG,1,400,,,,,,,,,,,,,,,,,,,,,
,,BOX-P30M-FR-$1,1,,,,,,,,,,,,,,,,,,,,,,
,,BOX-P20-CLIPS,1,,,,,,,,,,,,,,,,,,,,,,
,,SC-ST-M2.6X10,2,,,,,,,,,,,,,,,,,,,,,,
P20C25-ASS2,12,P20M25-ASS1,1,230,,,,,,,,,,,,,,,,,,,,,
,,BOX-P20-BK-$1,1,,,,,,,,,,,,,,,,,,,,,,
,,SC-ST-M2.6X12Y,2,,,,,,,,,,,,,,,,,,,,,,
P20M25-ASS2,12,P20M25-ASS1,1,230,,,,,,,,,,,,,,,,,,,,,
,,BOX-P20M-BK-$1,1,,,,,,,,,,,,,,,,,,,,,,
,,SC-ST-M2.6X12Y,2,,,,,,,,,,,,,,,,,,,,,,
P30C25-ASS2,12,P30C25-ASS1,1,230,,,,,,,,,,,,,,,,,,,,,
,,BOX-P30C-BK-$1,1,,,,,,,,,,,,,,,,,,,,,,
,,SC-ST-M2.6X12Y,2,,,,,,,,,,,,,,,,,,,,,,
P30M25-ASS2,12,P30M25-ASS1,1,230,,,,,,,,,,,,,,,,,,,,,
,,BOX-P30M-BK-$1,1,,,,,,,,,,,,,,,,,,,,,,
,,SC-ST-M2.6X12Y,2,,,,,,,,,,,,,,,,,,,,,,
P20C25-FT,19,P20C25-ASS2,1,770,,,,,,,,,,,,,,,,,,,,,
,,BOX-P20-Small,1,,,,,,,,,,,,,,,,,,,,,,
,,SC-ST-M2.6X12,1,,,,,,,,,,,,,,,,,,,,,,
P20M25-FT,19,P20M25-ASS2,1,770,,,,,,,,,,,,,,,,,,,,,
,,BOX-P20-Small,1,,,,,,,,,,,,,,,,,,,,,,
,,SC-ST-M2.6X12,1,,,,,,,,,,,,,,,,,,,,,,
P30C25-FT,19,P30C25-ASS2,1,770,,,,,,,,,,,,,,,,,,,,,
,,BOX-P20-Small,1,,,,,,,,,,,,,,,,,,,,,,
,,SC-ST-M2.6X12,1,,,,,,,,,,,,,,,,,,,,,,
P30M25-FT,19,P30M25-ASS2,1,770,,,,,,,,,,,,,,,,,,,,,
,,BOX-P20-Small,1,,,,,,,,,,,,,,,,,,,,,,
,,SC-ST-M2.6X12,1,,,,,,,,,,,,,,,,,,,,,,
P20C25-BS,23,P20C25-FT,1,770,,,,,,,,,,,,,,,,,,,,,
,,PK-INS-P20C-SHL,1,,,,,,,,,,,,,,,,,,,,,,
,,PK-LEAF-P20C-SHL,1,,,,,,,,,,,,,,,,,,,,,,
,,PK-BLIS-P20-SHLB,1,,,,,,,,,,,,,,,,,,,,,,
,,PK-BLIS-P20-SHLF,1,,,,,,,,,,,,,,,,,,,,,,
P20M25-BS,23,P20M25-FT,1,770,,,,,,,,,,,,,,,,,,,,,
,,PK-INS-P20M-SHL,1,,,,,,,,,,,,,,,,,,,,,,
,,PK-LEAF-P20M-SHL,1,,,,,,,,,,,,,,,,,,,,,,
,,PK-BLIS-P20-SHLB,1,,,,,,,,,,,,,,,,,,,,,,
,,PK-BLIS-P20-SHLF,1,,,,,,,,,,,,,,,,,,,,,,
P30C25-BS,23,P30C25-FT,1,770,,,,,,,,,,,,,,,,,,,,,
,,PK-INS-P30C-SHL,1,,,,,,,,,,,,,,,,,,,,,,
,,PK-LEAF-P30C-SHL,1,,,,,,,,,,,,,,,,,,,,,,
,,PK-BLIS-P20-SHLB,1,,,,,,,,,,,,,,,,,,,,,,
,,PK-BLIS-P20-SHLF,1,,,,,,,,,,,,,,,,,,,,,,
P30M25-BS,23,P30M25-FT,1,770,,,,,,,,,,,,,,,,,,,,,
,,PK-INS-P30M-SHL,1,,,,,,,,,,,,,,,,,,,,,,
